School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Big Pine Unified,Big Pine,Inyo County,,91%,0%,0%,9%,9%,9%,9%,9%,9%,19%,61%,4%,22,20,0,0,2,20,20,20,20,20,100%,1,"37.050448,-117.662077",604950,Big Pine Elementary
Mountain Elementary,Soquel,Santa Cruz County,,93%,0%,0%,7%,7%,7%,7%,7%,7%,11%,5%,6%,15,14,0,0,1,14,14,14,14,14,100%,1,"37.060465,-121.917974",626070,Mountain Elementary
Bonny Doon Union Elementary,Santa Cruz,Santa Cruz County,,65%,8%,0%,27%,35%,35%,31%,31%,31%,12%,16%,5%,26,17,2,0,7,17,17,18,18,18,100%,1,"37.066496,-122.15082",605640,Bonny Doon Elementary
Scotts Valley Unified,Santa Cruz,Santa Cruz County,,95%,2%,0%,3%,4%,3%,4%,4%,3%,5%,11%,2%,186,177,3,0,6,179,180,179,179,180,100%,2,"37.075934,-122.005322",600043,"Brook Knoll Elementary,Vine Hill Elementary"
Chowchilla Elementary,Chowchilla,Madera County,,96%,2%,0%,1%,2%,3%,3%,2%,2%,25%,69%,15%,271,261,5,1,4,265,264,263,266,266,100%,1,"37.10547,-120.197454",608520,Stephens Elementary
Loma Prieta Joint Union Elementary,Los Gatos,Santa Clara County,,95%,0%,0%,5%,5%,5%,5%,5%,5%,6%,2%,7%,38,36,0,0,2,36,36,36,36,36,100%,1,"37.121797,-121.876208",622350,Loma Prieta Elementary
Pacific Elementary,Davenport,Santa Cruz County,,73%,0%,0%,27%,27%,27%,27%,27%,27%,10%,25%,5%,15,11,0,0,4,11,11,11,11,11,100%,1,"37.1246,-122.245267",629340,Pacific Elementary
El Nido Elementary,El Nido,Merced County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,27%,73%,13%,21,21,0,0,0,21,21,21,21,21,100%,1,"37.138564,-120.505641",612150,El Nido Elementary
San Lorenzo Valley Unified,Placerville,Santa Cruz County,,60%,4%,2%,34%,36%,36%,38%,38%,36%,7%,19%,4%,338,203,15,6,114,215,215,209,211,217,80%,5,"37.140875,-122.115279",634740,"Ocean Grove Charter,Slvusd Charter,Boulder Creek Elementary,San Lorenzo Valley Elementary,Slvusd Home And Hospital"
Raymond-Knowles Union Elementary,Raymond,Madera County,,90%,10%,0%,0%,10%,10%,10%,10%,10%,30%,63%,6%,10,9,1,0,0,9,9,9,9,9,50%,2,"37.173707,-119.903081",631920,"Raymond-Knowles Elementary,Raymond-Knowles Community Day"
Morgan Hill Unified,Morgan Hill,Santa Clara County,,91%,7%,0%,2%,8%,7%,7%,4%,6%,13%,34%,7%,738,668,55,2,13,681,684,687,706,696,100%,9,"37.176017,-121.621042",625830,"Nordstrom Elementary,P. A. Walsh Elementary,San Martin/Gwinn Elementary,Los Paseos Elementary,Jackson Academy Of Music And Math (Jamm),Paradise Valley/Machado Elementary,El Toro Elementary,Barrett Elementary,Charter School Of Morgan Hill"
Plainsburg Union Elementary,Merced,Merced County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,24%,42%,6%,12,12,0,0,0,12,12,12,12,12,100%,1,"37.186911,-120.340951",630810,Plainsburg Union Elementary
Lakeside Joint,Los Gatos,Santa Clara County,,79%,14%,0%,7%,14%,14%,21%,14%,7%,7%,2%,2%,14,11,2,0,1,12,12,11,12,13,100%,1,"37.188308,-122.059884",620700,Lakeside Elementary
Los Gatos Union Elementary,Los Gatos,Santa Clara County,,89%,7%,0%,4%,10%,9%,10%,7%,4%,4%,3%,2%,308,274,21,1,12,276,280,277,285,295,100%,4,"37.188829,-121.937989",622830,"Blossom Hill Elementary,Daves Avenue Elementary,Lexington Elementary,Louise Van Meter Elementary"
Gustine Unified,Gustine,Merced County,,96%,2%,0%,1%,4%,1%,1%,2%,1%,36%,84%,19%,141,136,3,0,2,136,139,139,138,139,100%,2,"37.195041,-121.021668",616323,"Gustine Elementary,Romero Elementary"
Le Grand Union Elementary,Le Grand,Merced County,,97%,0%,0%,3%,3%,3%,3%,3%,3%,32%,75%,18%,39,38,0,0,1,38,38,38,38,38,100%,1,"37.215855,-120.200821",621240,Le Grand Elementary
La Honda-Pescadero Unified,La Honda,San Mateo County,,86%,11%,0%,3%,11%,14%,3%,5%,3%,7%,54%,6%,37,32,4,0,1,33,32,36,35,36,100%,2,"37.22565,-122.297533",620220,"La Honda Elementary,Pescadero Elementary And Middle"
Yosemite Unified,Coarsegold,Madera County,,87%,3%,0%,11%,13%,13%,13%,12%,12%,16%,40%,6%,120,104,3,0,13,104,105,105,106,106,75%,4,"37.230935,-119.744783",600160,"Coarsegold Elementary,Rivergold Elementary,Mountain Home Charter (Alternative),Yosemite Falls Education Center"
Union Elementary,Los Gatos,Santa Clara County,,87%,9%,0%,4%,8%,8%,9%,6%,6%,6%,11%,4%,540,470,48,2,20,496,497,492,505,510,100%,6,"37.242009,-121.917411",640320,"Alta Vista Elementary,Carlton Elementary,Guadalupe Elementary,Lietz Elementary,Noddin Elementary,Oster Elementary"
Saratoga Union Elementary,Saratoga,Santa Clara County,,96%,2%,0%,2%,2%,2%,2%,3%,2%,5%,1%,4%,161,155,3,0,3,158,157,157,156,158,100%,3,"37.245018,-122.048466",635910,"Argonaut Elementary,Foothill Elementary,Saratoga Elementary"
Oak Grove Elementary,San Jose,Santa Clara County,,95%,3%,0%,2%,4%,4%,3%,4%,4%,15%,36%,8%,1233,1167,34,2,30,1178,1183,1194,1180,1185,100%,16,"37.24803,-121.794023",627810,"Anderson (Alex) Elementary,Christopher Elementary,Frost (Earl) Elementary,Edenvale Elementary,Miner (George) Elementary,Glider Elementary,Stipe (Samuel) Elementary,Santa Teresa Elementary,Sakamoto Elementary,Del Roble Elementary,Oak Ridge Elementary,Parkview Elementary,Baldwin (Julia) Elementary,Taylor (Bertha) Elementary,Hayes Elementary,Ledesma (Rita) Elementary"
McSwain Union Elementary,Merced,Merced County,,77%,23%,0%,0%,21%,17%,21%,6%,5%,16%,31%,7%,96,74,22,0,0,76,80,76,90,91,100%,1,"37.25109,-120.630636",624360,Mcswain Elementary
San Jose Unified,San Jose,Santa Clara County,,95%,3%,0%,2%,4%,4%,5%,4%,3%,14%,40%,8%,2773,2624,93,3,53,2649,2661,2644,2664,2681,100%,27,"37.262391,-121.865851",634590,"Allen At Steinbeck,Almaden Elementary,Anne Darling Elementary,Booksin Elementary,Canoas Elementary,Empire Gardens Elementary,Gardner Elementary,Grant Elementary,Hammer Montessori At Galarza Elementary,Horace Mann Elementary,Lowell Elementary,Merritt Trace Elementary,Reed Elementary,River Glen,Schallenberger Elementary,Selma Olinder Elementary,Simonds Elementary,Terrell Elementary,Hacienda Science/Environmental Magnet,Walter L. Bachrodt Elementary,Washington Elementary,Williams Elementary,Willow Glen Elementary,Los Alamitos Elementary,Graystone Elementary,Rachel Carson Elementary,Ernesto Galarza Elementary"
Weaver Union,Merced,Merced County,,96%,4%,0%,1%,3%,3%,4%,2%,1%,52%,77%,28%,372,356,14,0,2,359,359,356,366,370,100%,2,"37.269526,-120.420113",641880,"Farmdale Elementary,Pioneer Elementary"
Cambrian,San Jose,Santa Clara County,,95%,1%,1%,3%,5%,5%,4%,4%,4%,8%,13%,4%,405,384,6,4,11,385,386,387,387,390,100%,4,"37.270229,-121.932471",607140,"Bagby Elementary,Fammatre Elementary,Farnham Charter,Sartorette Charter"
Campbell Union,Campbell,Santa Clara County,,93%,6%,0%,2%,5%,5%,5%,3%,2%,17%,42%,9%,965,895,54,1,15,914,920,919,937,945,100%,9,"37.28969,-121.955753",607200,"Village,Blackford Elementary,Capri Elementary,Castlemont Elementary,Forest Hill Elementary,Lynhaven Elementary,Marshall Lane Elementary,Rosemary Elementary,Sherman Oaks Elementary"
Bishop Unified,Bishop,Inyo County,,95%,3%,2%,0%,3%,2%,3%,4%,4%,,51%,,129,123,4,2,0,125,126,125,124,124,100%,1,"37.291832,-118.135613",601409,Elm Street Elementary
Evergreen Elementary,San Jose,Santa Clara County,,99%,1%,0%,0%,1%,1%,1%,1%,1%,12%,26%,7%,1249,1231,12,1,5,1237,1240,1239,1242,1242,100%,15,"37.294272,-121.756852",613140,"Carolyn A. Clark Elementary,Cadwallader Elementary,Evergreen Elementary,Holly Oak Elementary,Katherine R. Smith Elementary,O. B. Whaley Elementary,Cedar Grove Elementary,Laurelwood Elementary,John J. Montgomery Elementary,Norwood Creek Elementary,Millbrook Elementary,Dove Hill Elementary,Silver Oak Elementary,Tom Matsumoto Elementary,James Franklin Smith Elementary"
Moreland,San Jose,Santa Clara County,,84%,12%,0%,4%,13%,11%,11%,5%,5%,11%,26%,5%,628,528,76,2,22,547,562,557,597,596,100%,5,"37.296331,-121.980544",625770,"Country Lane Elementary,Easterbrook Discovery,George C. Payne Elementary,Gussie M. Baker Elementary,Leroy Anderson Elementary"
Merced County Office of Education,Merced,Merced County,,76%,13%,0%,11%,24%,24%,24%,11%,11%,,77%,,72,55,9,0,8,55,55,55,64,64,50%,2,"37.297454,-120.488456",691020,"Merced County Juvenile Hall/Community,Merced County Special Education"
Franklin-McKinley Elementary,San Jose,Santa Clara County,,91%,9%,0%,0%,5%,4%,5%,4%,3%,24%,69%,13%,1427,1292,132,0,3,1354,1364,1358,1366,1380,94%,17,"37.302768,-121.845409",614370,"Ramblewood Elementary,Success Academy,Voices College-Bound Language Academy,Cornerstone Academy Preparatory,Rocketship Mosaic Elementary,Rocketship Spark Academy,Franklin Elementary,G. W. Hellyer Elementary,Captain Jason M. Dahl Elementary,Los Arboles Elementary,Mckinley Elementary,Santee Elementary,Robert F. Kennedy Elementary,Stonegate Elementary,Windmill Springs Elementary,Jeanne R. Meadows Elementary,Shirakawa (George, Sr.) Elementary"
Cupertino Union,Cupertino,Santa Clara County,,96%,3%,0%,1%,3%,3%,3%,2%,2%,5%,4%,3%,1949,1864,59,3,23,1892,1900,1890,1904,1918,100%,20,"37.306491,-122.08064",610290,"C. B. Eaton Elementary,Chester W. Nimitz Elementary,L. P. Collins Elementary,D. J. Sedgwick Elementary,Dwight D. Eisenhower Elementary,Garden Gate Elementary,John Muir Elementary,Christa Mcauliffe Elementary,Abraham Lincoln Elementary,Louis E. Stocklmeir Elementary,Manuel De Vargas Elementary,Montclaire Elementary,Nelson S. Dilworth Elementary,Murdock-Portal Elementary,R. I. Meyerholz Elementary,William Regnart Elementary,Stevens Creek Elementary,West Valley Elementary,William Faria Elementary,Blue Hills Elementary"
Planada Elementary,Planada,Merced County,,98%,2%,0%,0%,2%,2%,0%,0%,0%,38%,82%,26%,90,88,2,0,0,88,88,90,90,90,100%,1,"37.318217,-120.273857",630840,Planada Elementary
Luther Burbank,San Jose,Santa Clara County,,92%,8%,0%,0%,5%,4%,1%,2%,2%,24%,80%,12%,96,88,8,0,0,91,92,95,94,94,100%,1,"37.32276,-121.927503",623130,Luther Burbank Elementary
Newman-Crows Landing Unified,Newman,Stanislaus County,,85%,14%,0%,2%,15%,15%,15%,2%,2%,26%,57%,19%,273,231,37,0,5,231,231,231,268,268,100%,4,"37.325955,-121.193383",627200,"Hunt Elementary,Hurd Barrington Elementary,Bonita Elementary,Von Renner Elementary"
East Side Union High,San Jose,Santa Clara County,,89%,11%,0%,0%,4%,4%,9%,2%,7%,16%,68%,9%,46,41,5,0,0,44,44,42,45,43,100%,1,37.327098-121.77708,611820,Escuela Popular Accelerated Family Learning
Hilmar Unified,Hilmar,Merced County,,97%,1%,0%,3%,3%,3%,3%,3%,3%,29%,46%,17%,188,182,1,0,5,182,182,182,183,183,100%,2,"37.345656,-120.863543",617220,"Elim Elementary,Merquin Elementary"
Mt. Pleasant Elementary,San Jose,Santa Clara County,,93%,7%,0%,0%,4%,5%,4%,1%,1%,20%,56%,9%,284,264,20,0,0,273,271,273,282,281,100%,4,"37.350151,-121.783714",626400,"Ida Jew Academies,Mt. Pleasant Elementary,Robert Sanders Elementary,Valle Vista Elementary"
Los Altos Elementary,Los Altos,Santa Clara County,,97%,1%,0%,2%,2%,2%,2%,2%,2%,4%,4%,2%,455,443,4,1,7,446,445,445,446,447,100%,7,"37.355634,-122.130105",622650,"Almond Elementary,Covington Elementary,Gardner Bullis Elementary,Loyola Elementary,Oak Avenue Elementary,Santa Rita Elementary,Springer Elementary"
Livingston Union,Livingston,Merced County,,99%,1%,0%,1%,1%,1%,1%,1%,1%,38%,68%,17%,292,288,2,0,2,288,290,289,290,290,100%,3,"37.356797,-120.746537",622170,"Campus Park Elementary,Selma Herndon Elementary,Yamato Colony Elementary"
Atwater Elementary,Atwater,Merced County,,96%,3%,0%,1%,4%,3%,2%,2%,2%,41%,71%,22%,613,588,17,0,8,591,595,599,601,602,88%,8,"37.362185,-120.611115",603420,"Aileen Colburn Elementary,Bellevue Elementary,Elmer Wood Elementary,Mitchell Elementary,Shaffer Elementary,Thomas Olaeta Elementary,Peggy Heller Elementary,Atwater Junior Academy"
Alum Rock Union Elementary,San Jose,Santa Clara County,,97%,3%,0%,0%,2%,2%,2%,1%,1%,24%,73%,14%,1410,1363,47,0,0,1380,1384,1383,1398,1400,100%,17,"37.363936,-121.716741",602310,"Learning In An Urban Community With High Achievement (L.U.C.H.A.),Adelante Dual Language Academy,Anthony P. Russo Academy,A. J. Dorsa Elementary,Ben Painter Elementary,Clyde Arbuckle Elementary,Donald J. Meyer Elementary,Horace Cureton Elementary,Linda Vista Elementary,Lyndale Elementary,Cesar Chavez Elementary,Aptitud Community Academy At Goss,Millard Mccollam Elementary,O. S. Hubbard Elementary,San Antonio Elementary,Sylvia Cassell Elementary,Thomas P. Ryan Elementary"
Portola Valley Elementary,Portola Valley,San Mateo County,,97%,0%,0%,3%,3%,3%,3%,3%,3%,6%,7%,1%,64,62,0,0,2,62,62,62,62,62,100%,1,"37.365046,-122.232678",631470,Ormondale Elementary
Merced City Elementary,Merced,Merced County,,94%,5%,0%,1%,5%,4%,5%,1%,1%,37%,74%,21%,1371,1287,73,2,9,1300,1311,1304,1351,1359,100%,12,"37.366419,-120.440326",624600,"Ada Givens Elementary,Charles Wright Elementary,Donn B. Chenoweth Elementary,Franklin Elementary,John C. Fremont Charter,John Muir Elementary,Luther Burbank Elementary,Margaret Sheehy Elementary,Allan Peterson Elementary,Leontine Gracey Elementary,Alicia Reyes Elementary,Don Stowell Elementary"
Orchard Elementary,San Jose,Santa Clara County,,98%,1%,0%,1%,1%,1%,1%,2%,1%,10%,39%,4%,122,120,1,0,1,121,121,121,120,121,100%,1,"37.383902,-121.908809",628680,Orchard Elementary
Sunnyvale,Sunnyvale,Santa Clara County,,92%,6%,0%,1%,5%,4%,3%,3%,2%,11%,37%,4%,929,857,60,3,9,882,891,897,903,911,100%,8,"37.389735,-122.024759",638460,"Bishop Elementary,Vargas Elementary,Cherry Chase Elementary,Cumberland Elementary,Ellis Elementary,Fairwood Elementary,Lakewood Elementary,San Miguel Elementary"
Chawanakee Unified,North Fork,Madera County,,75%,8%,0%,17%,25%,24%,24%,20%,20%,37%,50%,9%,59,44,5,0,10,44,45,45,47,47,100%,2,"37.396373,-119.402251",600116,"North Fork Elementary,Spring Valley Elementary"
Berryessa Union Elementary,San Jose,Santa Clara County,,97%,2%,0%,0%,2%,2%,1%,1%,1%,12%,27%,7%,781,761,18,0,2,764,769,774,774,776,100%,10,"37.399372,-121.847893",604800,"Laneview Elementary,Noble Elementary,Northwood Elementary,Toyon Elementary,Ruskin Elementary,Cherrywood Elementary,Vinci Park Elementary,Brooktree Elementary,Majestic Way Elementary,Summerdale Elementary"
Santa Clara Unified,Santa Clara,Santa Clara County,,93%,5%,0%,2%,6%,4%,5%,4%,3%,9%,36%,5%,1541,1426,82,1,32,1455,1472,1465,1481,1502,100%,17,"37.401688,-121.973393",635430,"Don Callejon,Bowers Elementary,Bracher Elementary,Braly Elementary,Briarwood Elementary,C. W. Haman Elementary,George Mayne Elementary,Kathryn Hughes Elementary,Laurelwood Elementary,Millikin Elementary,Montague Elementary,Pomeroy Elementary,Ponderosa Elementary,Scott Lane Elementary,Sutter Elementary,Washington Elementary,Westwood Elementary"
Winton,Winton,Merced County,,98%,1%,0%,1%,2%,2%,1%,2%,1%,36%,88%,25%,245,240,2,0,3,240,241,242,241,242,100%,3,"37.402897,-120.624185",642960,"Winfield Elementary,Frank Sparkes Elementary,Sybil N. Crookham Elementary"
Round Valley Joint Elementary,Bishop,Inyo County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,12%,30%,3%,13,13,0,0,0,13,13,13,13,13,100%,1,"37.405439,-118.630103",633690,Round Valley Elementary
Palo Alto Unified,Palo Alto,Santa Clara County,,87%,10%,1%,2%,12%,13%,12%,13%,12%,4%,7%,3%,927,806,93,11,17,812,811,817,809,817,100%,13,"37.409518,-122.149375",629610,"Addison Elementary,Herbert Hoover Elementary,El Carmelo Elementary,Ohlone Elementary,Escondido Elementary,Fairmeadow Elementary,Duveneck Elementary,Greendell,Juana Briones Elementary,Palo Verde Elementary,Walter Hays Elementary,Lucille M. Nixon Elementary,Barron Park Elementary"
Mountain View Whisman,Mountain View,Santa Clara County,,96%,1%,0%,3%,3%,3%,3%,3%,3%,11%,34%,6%,655,632,6,0,17,635,634,637,633,637,100%,7,"37.414028,-122.070679",626280,"Benjamin Bubb Elementary,Edith Landels Elementary,Frank L. Huff Elementary,Mariano Castro Elementary,Stevenson Elementary,Monta Loma Elementary,Theuerkauf Elementary"
Bass Lake Joint Union Elementary,Oakhurst,Madera County,,87%,7%,0%,6%,13%,13%,13%,10%,10%,24%,48%,10%,140,122,10,0,8,122,122,122,126,126,100%,2,"37.41691,-119.599098",604080,"Oakhurst Elementary,Wasuma Elementary"
Delhi Unified,Delhi,Merced County,,99%,1%,0%,0%,0%,0%,1%,0%,0%,31%,78%,12%,218,215,3,0,0,217,217,215,218,218,100%,3,"37.420277,-120.775633",600039,"Harmony Elementary,El Capitan Elementary,Schendel Elementary"
Las Lomitas Elementary,Atherton,San Mateo County,,95%,2%,1%,3%,5%,5%,5%,5%,4%,3%,4%,2%,128,121,2,1,4,122,122,122,122,123,100%,1,"37.422146,-122.215902",622380,Las Lomitas Elementary
Woodside Elementary,Woodside,San Mateo County,,98%,0%,0%,2%,2%,2%,2%,2%,2%,5%,9%,1%,65,64,0,0,1,64,64,64,64,64,100%,1,"37.423428,-122.279479",643140,Woodside Elementary
Milpitas Unified,Milpitas,Santa Clara County,,93%,5%,1%,1%,6%,6%,6%,5%,4%,11%,26%,5%,721,671,39,5,6,678,677,678,688,689,100%,9,"37.436444,-121.715636",624500,"Alexander Rose Elementary,Anthony Spangler Elementary,Curtner Elementary,John Sinnott Elementary,Joseph Weller Elementary,Marshall Pomeroy Elementary,Robert Randall Elementary,William Burnett Elementary,Pearl Zanker Elementary"
Cabrillo Unified,Half Moon Bay,San Mateo County,,84%,12%,0%,3%,12%,9%,10%,5%,5%,9%,39%,4%,263,222,32,0,9,231,239,237,250,251,100%,3,"37.437737,-122.436838",606780,"Alvin S. Hatch Elementary,El Granada Elementary,Farallone View Elementary"
Menlo Park City Elementary,Atherton,San Mateo County,,90%,6%,0%,4%,8%,8%,8%,6%,5%,4%,6%,3%,354,317,23,0,14,324,324,324,333,337,100%,3,"37.455884,-122.18339",624570,"Encinal Elementary,Laurel Elementary,Oak Knoll Elementary"
Patterson Joint Unified,Patterson,Stanislaus County,,99%,1%,0%,0%,1%,0%,1%,0%,0%,23%,63%,12%,497,493,3,0,1,494,495,494,496,496,100%,5,"37.468001,-121.390707",630030,"Apricot Valley Elementary,Walnut Grove Elementary,Grayson Charter,Las Palmas Elementary,Northmead Elementary"
Ballico-Cressey Elementary,Cressey,Merced County,,91%,9%,0%,0%,7%,7%,9%,7%,7%,23%,61%,10%,44,40,4,0,0,41,41,40,41,41,100%,1,"37.470288,-120.671083",603750,Cressey Elementary
Chatom Union,Turlock,Stanislaus County,,97%,0%,0%,3%,3%,3%,3%,3%,3%,33%,71%,14%,97,94,0,0,3,94,94,94,94,94,100%,1,"37.471005,-120.962712",608250,Chatom Elementary
Redwood City Elementary,Redwood City,San Mateo County,,75%,23%,0%,1%,15%,12%,16%,4%,4%,18%,47%,8%,1062,801,249,0,12,903,934,892,1017,1023,100%,14,"37.486773,-122.231568",632130,"Connect Community Charter,Clifford Elementary,Roy Cloud Elementary,Fair Oaks Elementary,Garfield Elementary,Hawes Elementary,Henry Ford Elementary,Hoover Elementary,John Gill Elementary,Roosevelt Elementary,Selby Lane Elementary,Taft Elementary,Orion Alternative,Adelante Spanish Immersion"
Turlock Unified,Turlock,Stanislaus County,,96%,2%,0%,3%,4%,4%,4%,3%,3%,24%,50%,13%,1082,1034,20,0,28,1037,1041,1039,1048,1052,100%,9,"37.488666,-120.827957",600158,"Sandra Tovar Medeiros Elementary,Walnut Elementary Education Center,Crowell Elementary,Cunningham Elementary,Julien Elementary,Osborn Two-Way Immersion Academy,Wakefield Elementary,Walter M. Brown Elementary,Dennis G. Earl Elementary"
Mariposa County Office of Education,Mariposa,Mariposa County,,,,,,,,,,,,82%,,,,,,,,,,,,0%,2,"37.489363,-119.967929",691090,"Spring Hill Opportunity,Mariposa County Community School"
